metric,students,mean,sd,p10,median
self_tau_shap,11875,0.8037205012531329,0.12608588003418383,0.6380952380952382,0.8285714285714286
self_tau_occlusion,11875,0.6868763909774437,0.2037858566379822,0.39047619047619053,0.7333333333333334
self_jaccard_shap,11875,0.8376336842105263,0.16666175835613606,0.6,0.8
cross_tau,11875,0.3641255137844612,0.2937259554963281,-0.04761904761904763,0.4095238095238095
cross_jaccard_top3,11875,0.521536,0.2276441554100087,0.25999999999999995,0.5
self_taub_shap,11875,0.8036619267490429,0.1262228402021076,0.6380952380952382,0.8285714285714286
self_jaccard_occlusion,11875,0.705546105263158,0.1905157608648042,0.4600000000000001,0.7
self_taub_occlusion,11834,0.6784325096632297,0.204571008633554,0.39047619047619053,0.7142857142857144
self_tau_lime,11875,0.6632493233082707,0.19291860427053734,0.39047619047619053,0.6952380952380952
self_jaccard_lime,11875,0.7356058947368421,0.19845820479972645,0.49000000000000005,0.7
self_taub_lime,11875,0.6629678241516151,0.19304736665626007,0.39047619047619053,0.6952380952380952
self_tau_kernelshap_prob,11875,0.8037205012531329,0.12608588003418383,0.6380952380952382,0.8285714285714286
self_jaccard_kernelshap_prob,11875,0.8376336842105263,0.16666175835613606,0.6,0.8
self_taub_kernelshap_prob,11875,0.8036619267490429,0.1262228402021076,0.6380952380952382,0.8285714285714286
cross_tau_shap__occlusion,11875,0.3641255137844612,0.2937259554963281,-0.04761904761904763,0.4095238095238095
cross_jaccard_top3_shap__occlusion,11875,0.521536,0.2276441554100087,0.25999999999999995,0.5
cross_taub_shap__occlusion,11837,0.37207692676956045,0.29789163834306354,-0.04903019485310246,0.40952380952380957
cross_tau_shap__lime,11875,0.4608264661654136,0.25382439947640567,0.10476190476190479,0.48571428571428577
cross_jaccard_top3_shap__lime,11875,0.5910837894736842,0.23534462769993703,0.31999999999999995,0.54
cross_taub_shap__lime,11875,0.46145374984171106,0.2537522617771937,0.10476190476190479,0.48571428571428577
cross_tau_shap__kernelshap_prob,11875,1.0,0.0,1.0,1.0
cross_jaccard_top3_shap__kernelshap_prob,11875,1.0,0.0,1.0,1.0
cross_taub_shap__kernelshap_prob,11875,1.0,0.0,1.0,1.0
cross_tau_occlusion__lime,11875,0.12449122807017546,0.31627049693553594,-0.3142857142857143,0.14285714285714285
cross_jaccard_top3_occlusion__lime,11875,0.397888,0.2133829299767376,0.16,0.38
cross_taub_occlusion__lime,11837,0.13314173771793583,0.31914847940784,-0.29853077211755663,0.14285714285714288
cross_tau_occlusion__kernelshap_prob,11875,0.3641255137844612,0.2937259554963281,-0.04761904761904763,0.4095238095238095
cross_jaccard_top3_occlusion__kernelshap_prob,11875,0.521536,0.2276441554100087,0.25999999999999995,0.5
cross_taub_occlusion__kernelshap_prob,11837,0.37207692676956045,0.29789163834306354,-0.04903019485310246,0.40952380952380957
cross_tau_lime__kernelshap_prob,11875,0.4608264661654136,0.25382439947640567,0.10476190476190479,0.48571428571428577
cross_jaccard_top3_lime__kernelshap_prob,11875,0.5910837894736842,0.23534462769993703,0.31999999999999995,0.54
cross_taub_lime__kernelshap_prob,11875,0.46145374984171106,0.2537522617771937,0.10476190476190479,0.48571428571428577
lime_seed_tau,11875,0.8936701754385965,0.11440386351155521,0.7142857142857143,0.9047619047619049
