metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
tau_strict,shap,shap,self,0.8037205012531329,0.7889363283904366,0.8156763945062643,0.8376336842105263,11875
tau_strict,occlusion,occlusion,self,0.6868763909774437,0.6606315605957905,0.716484271946337,0.705546105263158,11875
tau_strict,lime,lime,self,0.6632493233082707,0.6218298624242998,0.697019302402323,0.7356058947368421,11875
tau_strict,kernelshap_prob,kernelshap_prob,self,0.8037205012531329,0.7889363283904366,0.8156763945062643,0.8376336842105263,11875
tau_strict,shap,occlusion,cross,0.3641255137844612,0.328252807367227,0.4036941569134101,0.521536,11875
tau_strict,shap,lime,cross,0.4608264661654136,0.4192418055657637,0.4956607113225133,0.5910837894736842,11875
tau_strict,shap,kernelshap_prob,cross,1.0,1.0,1.0,1.0,11875
tau_strict,occlusion,lime,cross,0.12449122807017546,0.08601454558506766,0.1686354298100928,0.397888,11875
tau_strict,occlusion,kernelshap_prob,cross,0.3641255137844612,0.328252807367227,0.4036941569134101,0.521536,11875
tau_strict,lime,kernelshap_prob,cross,0.4608264661654136,0.4192418055657637,0.4956607113225133,0.5910837894736842,11875
tau_b,shap,shap,self,0.8036619267490429,0.788872821154778,0.8155163158239614,,11875
tau_b,occlusion,occlusion,self,0.6784325096632297,0.6536140478015527,0.7057485150169537,,11834
tau_b,lime,lime,self,0.6629678241516151,0.621454973451572,0.6963615274907415,,11875
tau_b,kernelshap_prob,kernelshap_prob,self,0.8036619267490429,0.788872821154778,0.8155163158239614,,11875
tau_b,shap,occlusion,cross,0.37207692676956045,0.33498083409232976,0.4123039177622111,,11837
tau_b,shap,lime,cross,0.46145374984171106,0.4202771510628556,0.4964776582678671,,11875
tau_b,shap,kernelshap_prob,cross,1.0,1.0,1.0,,11875
tau_b,occlusion,lime,cross,0.13314173771793583,0.09429221159181023,0.1790461628004649,,11837
tau_b,occlusion,kernelshap_prob,cross,0.37207692676956045,0.33498083409232976,0.4123039177622111,,11837
tau_b,lime,kernelshap_prob,cross,0.46145374984171106,0.4202771510628556,0.4964776582678671,,11875
