cohort_id,institution,n_students,vary,background_n,student_row,y,p_risk,flagged,margin,active_weeks,weeks_since_active,cum_clicks,self_tau_shap,self_tau_occlusion,self_jaccard_shap,cross_tau,cross_jaccard_top3
oulad_AAA_2013J,OULAD,383,background,127,47,0,0.9855072716512993,True,0.0226937970068255,11.0,0.0,777.0,0.961904761904762,0.8476190476190476,1.0,0.12380952380952384,0.5
oulad_AAA_2013J,OULAD,383,background,127,0,1,0.8359161035851495,False,0.1268973710593243,9.0,2.0,388.0,0.8476190476190478,0.6380952380952382,0.8,-0.06666666666666668,0.25999999999999995
oulad_AAA_2013J,OULAD,383,background,127,267,1,0.9784561117003397,True,0.015642637055865993,13.0,0.0,1173.0,0.9238095238095239,0.9238095238095239,1.0,0.10476190476190476,0.2
oulad_AAA_2013J,OULAD,383,background,127,122,1,0.6752733513979848,False,0.2875401232464889,13.0,0.0,1520.0,0.961904761904762,0.9428571428571428,0.8,-0.25714285714285723,0.2
oulad_AAA_2013J,OULAD,383,background,127,337,0,0.7722006564990834,False,0.19061281814539033,8.0,3.0,400.0,0.961904761904762,0.7523809523809525,1.0,-0.04761904761904763,0.31999999999999995
oulad_AAA_2013J,OULAD,383,background,127,111,1,0.9067216708317999,False,0.05609180381267387,13.0,0.0,1579.0,0.8285714285714286,0.6761904761904762,1.0,0.18095238095238098,0.5
oulad_AAA_2013J,OULAD,383,background,127,17,1,0.36766849014276404,False,0.5951449845017097,6.0,5.0,127.0,0.9238095238095239,0.7523809523809524,1.0,0.40952380952380957,0.5
oulad_AAA_2013J,OULAD,383,background,127,141,1,0.9354718085600345,False,0.02734166608443922,7.0,0.0,196.0,0.6571428571428571,0.9238095238095239,0.6,0.21904761904761907,0.5
oulad_AAA_2013J,OULAD,383,background,127,308,1,0.8647468707469492,False,0.09806660389752453,11.0,0.0,836.0,0.9238095238095239,0.9047619047619049,0.8,-0.14285714285714288,0.26
oulad_AAA_2013J,OULAD,383,background,127,241,0,0.06149161929392316,False,0.9013218553505506,3.0,7.0,54.0,0.8666666666666668,0.8476190476190476,1.0,0.10476190476190476,0.5
oulad_AAA_2013J,OULAD,383,background,127,130,0,0.5433426743103442,False,0.41947080033412953,10.0,0.0,566.0,0.7904761904761906,0.8857142857142858,0.7,0.20000000000000004,0.31999999999999995
oulad_AAA_2013J,OULAD,383,background,127,178,1,0.5401954782561776,False,0.4226179963882961,10.0,3.0,284.0,0.961904761904762,0.8095238095238096,1.0,-0.4666666666666667,0.2
oulad_AAA_2013J,OULAD,383,background,127,296,0,0.7773712745445943,False,0.18544220009987944,4.0,6.0,164.0,0.8095238095238096,0.8857142857142859,0.8,-0.06666666666666668,0.5
oulad_AAA_2013J,OULAD,383,background,127,259,0,0.46008812027011975,False,0.502725354374354,6.0,5.0,127.0,0.6952380952380952,0.9238095238095239,0.6,0.6952380952380952,0.6
oulad_AAA_2013J,OULAD,383,background,127,368,0,0.7313410380024958,False,0.23147243664197792,4.0,5.0,76.0,0.9238095238095239,0.8476190476190476,1.0,0.25714285714285723,0.5
oulad_AAA_2013J,OULAD,383,background,127,40,0,0.22569914474249927,False,0.7371143299019745,6.0,4.0,155.0,0.8857142857142858,0.8285714285714286,1.0,0.5047619047619047,0.5
oulad_AAA_2013J,OULAD,383,background,127,46,1,0.9582872111800916,False,0.004526263464382119,13.0,0.0,1655.0,0.8476190476190476,0.9238095238095239,0.6,-0.5428571428571429,0.12000000000000002
oulad_AAA_2013J,OULAD,383,background,127,333,0,0.9039833839448923,False,0.05883009069958145,12.0,0.0,898.0,0.9238095238095239,0.8285714285714286,1.0,-0.33333333333333337,0.04
oulad_AAA_2013J,OULAD,383,background,127,90,0,0.9745304279246767,True,0.011716953280202946,13.0,0.0,5744.0,0.7904761904761906,0.961904761904762,0.7,0.06666666666666668,0.2
oulad_AAA_2013J,OULAD,383,background,127,237,0,0.9060288572765676,False,0.05678461736790619,12.0,0.0,1478.0,0.9238095238095239,0.8095238095238096,1.0,-0.39047619047619053,0.0
oulad_AAA_2013J,OULAD,383,background,127,351,1,0.8526446833090643,False,0.11016879133540947,11.0,1.0,778.0,0.7904761904761906,0.8285714285714286,1.0,-0.23809523809523814,0.08
oulad_AAA_2013J,OULAD,383,background,127,4,1,0.9332820858904112,False,0.029531388754062582,13.0,0.0,797.0,0.7904761904761906,0.8285714285714286,0.7,0.10476190476190479,0.31999999999999995
oulad_AAA_2013J,OULAD,383,background,127,72,0,0.8934187371691277,False,0.06939473747534608,8.0,3.0,487.0,0.8857142857142858,0.8666666666666668,0.65,-0.009523809523809528,0.31999999999999995
oulad_AAA_2013J,OULAD,383,background,127,2,1,0.8478904175483108,False,0.1149230570961629,13.0,0.0,922.0,0.7904761904761906,0.7142857142857142,1.0,-0.48571428571428577,0.08
oulad_AAA_2013J,OULAD,383,background,127,135,1,0.2011590107748285,False,0.7616544638696452,6.0,4.0,371.0,0.9428571428571428,0.7904761904761906,1.0,0.39047619047619053,0.6
oulad_AAA_2013J,OULAD,383,background,127,354,1,0.8966326905113925,False,0.06618078413308126,13.0,0.0,809.0,0.9428571428571428,0.961904761904762,1.0,0.27619047619047626,1.0
oulad_AAA_2013J,OULAD,383,background,127,3,1,0.5298077509340965,False,0.43300572371037727,8.0,2.0,490.0,0.8666666666666668,0.6380952380952382,0.65,0.14285714285714285,0.4800000000000001
oulad_AAA_2013J,OULAD,383,background,127,218,1,0.7157265867444073,False,0.2470868879000665,11.0,0.0,628.0,0.961904761904762,0.9047619047619049,1.0,-0.009523809523809525,0.2
oulad_AAA_2013J,OULAD,383,background,127,253,0,0.7740687641004113,False,0.1887447105440625,11.0,0.0,478.0,0.8666666666666668,0.7333333333333333,1.0,0.08571428571428573,0.31999999999999995
