source,target,distance,shared_students,target_size,contamination,is_clean
oulad_AAA_2013J,oulad_AAA_2014J,D1_same_module,36,365,0.09863013698630137,False
oulad_AAA_2013J,oulad_BBB_2013B,D2_other_module,0,1767,0.0,True
oulad_AAA_2013J,oulad_BBB_2013J,D2_other_module,0,2237,0.0,True
oulad_AAA_2013J,oulad_BBB_2014B,D2_other_module,0,1613,0.0,True
oulad_AAA_2013J,oulad_BBB_2014J,D2_other_module,0,2292,0.0,True
oulad_AAA_2013J,oulad_CCC_2014B,D2_other_module,0,1936,0.0,True
oulad_AAA_2013J,oulad_CCC_2014J,D2_other_module,0,2498,0.0,True
oulad_AAA_2013J,oulad_DDD_2013B,D2_other_module,0,1303,0.0,True
oulad_AAA_2013J,oulad_DDD_2013J,D2_other_module,0,1938,0.0,True
oulad_AAA_2013J,oulad_DDD_2014B,D2_other_module,0,1228,0.0,True
oulad_AAA_2013J,oulad_DDD_2014J,D2_other_module,0,1803,0.0,True
oulad_AAA_2013J,oulad_EEE_2013J,D2_other_module,0,1052,0.0,True
oulad_AAA_2013J,oulad_EEE_2014B,D2_other_module,0,694,0.0,True
oulad_AAA_2013J,oulad_EEE_2014J,D2_other_module,0,1188,0.0,True
oulad_AAA_2013J,oulad_FFF_2013B,D2_other_module,0,1614,0.0,True
oulad_AAA_2013J,oulad_FFF_2013J,D2_other_module,0,2283,0.0,True
oulad_AAA_2013J,oulad_FFF_2014B,D2_other_module,1,1500,0.0006666666666666666,True
oulad_AAA_2013J,oulad_FFF_2014J,D2_other_module,0,2365,0.0,True
oulad_AAA_2013J,ku_Accountancy_1819,D3_other_institution,0,752,0.0,True
oulad_AAA_2013J,ku_Globaleconom_1819,D3_other_institution,0,743,0.0,True
oulad_AAA_2013J,ku_Accountancy_1920,D3_other_institution,0,705,0.0,True
oulad_AAA_2013J,ku_Globaleconom_1920,D3_other_institution,0,681,0.0,True
oulad_AAA_2013J,ku_Accountancy_2021,D3_other_institution,0,723,0.0,True
oulad_AAA_2013J,ku_Globaleconom_2021,D3_other_institution,0,335,0.0,True
oulad_AAA_2013J,ukzn_ISTN101_2019,D3_other_institution,0,1056,0.0,True
oulad_AAA_2013J,ukzn_ISTN101_2020,D3_other_institution,0,978,0.0,True
oulad_AAA_2013J,ukzn_ISTN101_2021,D3_other_institution,0,741,0.0,True
oulad_AAA_2013J,ukzn_ISTN102_2018,D3_other_institution,0,257,0.0,True
oulad_AAA_2013J,ukzn_ISTN103_2019,D3_other_institution,0,1113,0.0,True
oulad_AAA_2013J,ukzn_ISTN103_2020,D3_other_institution,0,1082,0.0,True
oulad_AAA_2013J,ukzn_ISTN211_2019,D3_other_institution,0,280,0.0,True
oulad_AAA_2013J,ukzn_ISTN211_2021,D3_other_institution,0,327,0.0,True
oulad_AAA_2013J,ukzn_ISTN212_2018,D3_other_institution,0,238,0.0,True
oulad_AAA_2013J,ukzn_ISTN212_2019,D3_other_institution,0,264,0.0,True
oulad_AAA_2013J,ukzn_ISTN2IP_2018,D3_other_institution,0,99,0.0,True
oulad_AAA_2013J,ukzn_ISTN2IP_2019,D3_other_institution,0,116,0.0,True
oulad_AAA_2013J,ukzn_ISTN3ND_2018,D3_other_institution,0,144,0.0,True
oulad_AAA_2013J,ukzn_ISTN3ND_2019,D3_other_institution,0,223,0.0,True
oulad_AAA_2013J,ukzn_ISTN3SA_2018,D3_other_institution,0,141,0.0,True
oulad_AAA_2013J,ukzn_ISTN3SA_2019,D3_other_institution,0,195,0.0,True
oulad_AAA_2013J,zambia_ICT1110_2020,D3_other_institution,0,65,0.0,True
oulad_AAA_2013J,zambia_ICT1110_2021,D3_other_institution,0,52,0.0,True
oulad_AAA_2013J,oviedo_C1112_1415,D3_other_institution,0,199,0.0,True
oulad_AAA_2013J,oviedo_C1127_1415,D3_other_institution,0,106,0.0,True
oulad_AAA_2013J,oviedo_C1200_1415,D3_other_institution,0,107,0.0,True
oulad_AAA_2013J,oviedo_C1303_1415,D3_other_institution,0,112,0.0,True
oulad_AAA_2013J,oviedo_C174_1415,D3_other_institution,0,96,0.0,True
oulad_AAA_2013J,oviedo_C190_1415,D3_other_institution,0,112,0.0,True
oulad_AAA_2013J,oviedo_C1978_1415,D3_other_institution,0,164,0.0,True
oulad_AAA_2013J,oviedo_C2011_1415,D3_other_institution,0,120,0.0,True
oulad_AAA_2013J,oviedo_C2024_1415,D3_other_institution,1,327,0.0030581039755351682,True
oulad_AAA_2013J,oviedo_C2150_1415,D3_other_institution,1,106,0.009433962264150943,True
oulad_AAA_2013J,oviedo_C2271_1415,D3_other_institution,1,596,0.0016778523489932886,True
oulad_AAA_2013J,oviedo_C2335_1415,D3_other_institution,0,428,0.0,True
oulad_AAA_2013J,oviedo_C2406_1415,D3_other_institution,0,133,0.0,True
oulad_AAA_2013J,oviedo_C2468_1415,D3_other_institution,0,82,0.0,True
oulad_AAA_2013J,oviedo_C2607_1415,D3_other_institution,0,277,0.0,True
oulad_AAA_2013J,oviedo_C3022_1415,D3_other_institution,1,238,0.004201680672268907,True
oulad_AAA_2013J,oviedo_C3029_1415,D3_other_institution,1,231,0.004329004329004329,True
oulad_AAA_2013J,oviedo_C4189_1415,D3_other_institution,0,128,0.0,True
oulad_AAA_2013J,oviedo_C4213_1415,D3_other_institution,0,140,0.0,True
oulad_AAA_2013J,oviedo_C836_1415,D3_other_institution,0,87,0.0,True
oulad_AAA_2014J,oulad_AAA_2013J,D1_same_module,36,383,0.09399477806788512,False
oulad_AAA_2014J,oulad_BBB_2013B,D2_other_module,0,1767,0.0,True
oulad_AAA_2014J,oulad_BBB_2013J,D2_other_module,0,2237,0.0,True
oulad_AAA_2014J,oulad_BBB_2014B,D2_other_module,0,1613,0.0,True
oulad_AAA_2014J,oulad_BBB_2014J,D2_other_module,0,2292,0.0,True
oulad_AAA_2014J,oulad_CCC_2014B,D2_other_module,0,1936,0.0,True
oulad_AAA_2014J,oulad_CCC_2014J,D2_other_module,0,2498,0.0,True
oulad_AAA_2014J,oulad_DDD_2013B,D2_other_module,0,1303,0.0,True
oulad_AAA_2014J,oulad_DDD_2013J,D2_other_module,0,1938,0.0,True
oulad_AAA_2014J,oulad_DDD_2014B,D2_other_module,0,1228,0.0,True
oulad_AAA_2014J,oulad_DDD_2014J,D2_other_module,0,1803,0.0,True
oulad_AAA_2014J,oulad_EEE_2013J,D2_other_module,0,1052,0.0,True
oulad_AAA_2014J,oulad_EEE_2014B,D2_other_module,0,694,0.0,True
oulad_AAA_2014J,oulad_EEE_2014J,D2_other_module,0,1188,0.0,True
oulad_AAA_2014J,oulad_FFF_2013B,D2_other_module,0,1614,0.0,True
oulad_AAA_2014J,oulad_FFF_2013J,D2_other_module,1,2283,0.0004380201489268506,True
oulad_AAA_2014J,oulad_FFF_2014B,D2_other_module,0,1500,0.0,True
oulad_AAA_2014J,oulad_FFF_2014J,D2_other_module,0,2365,0.0,True
oulad_AAA_2014J,ku_Accountancy_1819,D3_other_institution,0,752,0.0,True
