source,target,source_institution,target_institution,distance,representation,model,n_target,auc,f1_pass,f1_fail,f1_fail_baseline,recall_at_flag20,precision_at_flag20,lift_at_flag20,brier,calibration_in_large,explanation_tau,explanation_jaccard_top3
oulad_AAA_2013J,oulad_AAA_2013J,OULAD,OULAD,D0_within_cohort,raw,gradient_boosting,383,0.6686879068174032,0.8435374149659864,0.48314606741573035,0.430327868852459,0.42857142857142855,0.5844155844155844,2.131725417439703,0.18771351583503498,-0.01404069761416965,1.0,1.0
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,OULAD,D1_same_module,raw,gradient_boosting,365,0.7140033879164314,0.8082706766917294,0.48484848484848486,0.469601677148847,0.39285714285714285,0.6027397260273972,1.964285714285714,0.19587594431318708,0.01507229673697097,0.4285714285714286,0.5
oulad_AAA_2013J,oulad_BBB_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1767,0.7733841713904807,0.6240105540897097,0.7175421209117938,0.7059685097034054,0.3599585062240664,0.9830028328611898,1.8018319560847742,0.20329089922228732,0.044763503033059204,0.4285714285714286,0.5
oulad_AAA_2013J,oulad_BBB_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2237,0.7943125040035872,0.6431131592421915,0.7235224117413724,0.684891240446796,0.37682403433476397,0.9821029082774049,1.8858061852502617,0.20056439044521424,0.06943444152343625,0.5238095238095238,0.5
oulad_AAA_2013J,oulad_BBB_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1613,0.7707336498365218,0.5263157894736842,0.720551996057171,0.7090836334533814,0.3577878103837472,0.9814241486068112,1.786723647520075,0.22325707366328004,0.1157913421049287,0.23809523809523814,0.2
oulad_AAA_2013J,oulad_BBB_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2292,0.8073221247563354,0.691771269177127,0.7274969173859432,0.6643356643356644,0.39035087719298245,0.9716157205240175,1.9534589749482876,0.1960977959673825,0.06991685443997897,0.4285714285714286,0.5
oulad_AAA_2013J,oulad_CCC_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1936,0.7704843252183947,0.600547195622435,0.7576763485477178,0.7933935805546899,0.29615082482325217,0.9741602067183462,1.4815193717256232,0.20031068266983437,-0.06460110378181005,0.14285714285714288,0.2
oulad_AAA_2013J,oulad_CCC_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2498,0.7405522024653794,0.6307385229540918,0.7526737967914439,0.7450389349409695,0.2926500337154417,0.868,1.4620795684423467,0.21761838208390905,-0.00722231289751174,-0.23809523809523814,0.2
oulad_AAA_2013J,oulad_DDD_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1303,0.7911467991988724,0.6714801444043321,0.6273546273546273,0.7566793893129771,0.3203026481715006,0.9731800766283525,1.599058814434733,0.23204862211009608,-0.2015806104953926,0.14285714285714288,0.5
oulad_AAA_2013J,oulad_DDD_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1938,0.8009079132136343,0.7210216110019646,0.691304347826087,0.7279291106005907,0.3390441839495041,0.9690721649484536,1.693473269314791,0.2045528737808937,-0.13979791878679904,0.33333333333333337,0.5
