cohort_id,institution,module,n_students,n_failed,pass_rate,mean_cum_clicks
oulad_AAA_2013J,OULAD,AAA,383,105,0.7258485639686684,772.9686684073107
oulad_AAA_2014J,OULAD,AAA,365,112,0.6931506849315069,794.6630136986302
oulad_BBB_2013B,OULAD,BBB,1767,964,0.45444255800792305,368.0311262026033
oulad_BBB_2013J,OULAD,BBB,2237,1165,0.47921323200715243,282.3594099240054
oulad_BBB_2014B,OULAD,BBB,1613,886,0.45071295722256666,228.64290142591443
oulad_BBB_2014J,OULAD,BBB,2292,1140,0.5026178010471204,257.94677137870855
oulad_CCC_2014B,OULAD,CCC,1936,1273,0.3424586776859504,403.52427685950414
oulad_CCC_2014J,OULAD,CCC,2498,1483,0.4063250600480384,510.62329863891114
oulad_DDD_2013B,OULAD,DDD,1303,793,0.3914044512663085,515.6062931696086
oulad_DDD_2013J,OULAD,DDD,1938,1109,0.4277605779153767,420.5278637770898
oulad_DDD_2014B,OULAD,DDD,1228,749,0.39006514657980457,394.3599348534202
oulad_DDD_2014J,OULAD,DDD,1803,1011,0.43926788685524126,401.6106489184692
oulad_EEE_2013J,OULAD,EEE,1052,443,0.5788973384030418,679.4134980988593
oulad_EEE_2014B,OULAD,EEE,694,337,0.5144092219020173,517.4380403458214
oulad_EEE_2014J,OULAD,EEE,1188,504,0.5757575757575758,608.4015151515151
oulad_FFF_2013B,OULAD,FFF,1614,832,0.48451053283767037,1035.7292441140025
oulad_FFF_2013J,OULAD,FFF,2283,1188,0.47963206307490147,954.4643013578625
oulad_FFF_2014B,OULAD,FFF,1500,846,0.436,803.906
oulad_FFF_2014J,OULAD,FFF,2365,1248,0.4723044397463002,883.9720930232559
ku_Accountancy_1819,KU Leuven,Accountancy,756,225,0.7023809523809523,96.31481481481481
ku_Globaleconom_1819,KU Leuven,Globaleconom,743,325,0.5625841184387618,58.46164199192463
ku_Accountancy_1920,KU Leuven,Accountancy,711,229,0.6779184247538678,100.88607594936708
ku_Globaleconom_1920,KU Leuven,Globaleconom,681,167,0.7547723935389133,225.51688693098384
ku_Accountancy_2021,KU Leuven,Accountancy,725,217,0.7006896551724138,452.02344827586205
ku_Globaleconom_2021,KU Leuven,Globaleconom,335,163,0.5134328358208955,231.4358208955224
ukzn_ISTN101_2019,UKZN,ISTN101,1056,184,0.8257575757575758,130.73579545454547
ukzn_ISTN101_2020,UKZN,ISTN101,978,49,0.9498977505112475,199.61349693251535
ukzn_ISTN101_2021,UKZN,ISTN101,741,63,0.9149797570850202,337.4507422402159
ukzn_ISTN102_2018,UKZN,ISTN102,257,68,0.7354085603112841,51.35408560311284
ukzn_ISTN103_2019,UKZN,ISTN103,1113,300,0.7304582210242587,52.80503144654088
ukzn_ISTN103_2020,UKZN,ISTN103,1082,115,0.8937153419593346,69.52402957486137
ukzn_ISTN211_2019,UKZN,ISTN211,280,19,0.9321428571428572,127.38571428571429
ukzn_ISTN211_2021,UKZN,ISTN211,327,17,0.9480122324159022,90.94189602446484
ukzn_ISTN212_2018,UKZN,ISTN212,238,44,0.8151260504201681,45.096638655462186
ukzn_ISTN212_2019,UKZN,ISTN212,264,42,0.8409090909090909,65.63257575757575
ukzn_ISTN2IP_2018,UKZN,ISTN2IP,99,25,0.7474747474747475,56.96969696969697
ukzn_ISTN2IP_2019,UKZN,ISTN2IP,116,28,0.7586206896551724,77.20689655172414
ukzn_ISTN3ND_2018,UKZN,ISTN3ND,144,57,0.6041666666666666,37.791666666666664
ukzn_ISTN3ND_2019,UKZN,ISTN3ND,223,44,0.8026905829596412,136.18834080717488
