cohort_id,institution,module,n_students,n_failed,pass_rate,mean_cum_clicks
oulad_AAA_2013J,OULAD,AAA,383,105,0.7258485639686684,1107.0078328981724
oulad_AAA_2014J,OULAD,AAA,365,112,0.6931506849315069,1130.1260273972603
oulad_BBB_2013B,OULAD,BBB,1767,964,0.45444255800792305,541.6943972835314
oulad_BBB_2013J,OULAD,BBB,2237,1165,0.47921323200715243,420.7590523021904
oulad_BBB_2014B,OULAD,BBB,1613,886,0.45071295722256666,355.47365158090514
oulad_BBB_2014J,OULAD,BBB,2292,1140,0.5026178010471204,434.0964223385689
oulad_CCC_2014B,OULAD,CCC,1936,1273,0.3424586776859504,599.2737603305785
oulad_CCC_2014J,OULAD,CCC,2498,1483,0.4063250600480384,693.0280224179344
oulad_DDD_2013B,OULAD,DDD,1303,793,0.3914044512663085,760.6024558710668
oulad_DDD_2013J,OULAD,DDD,1938,1109,0.4277605779153767,591.0237358101135
oulad_DDD_2014B,OULAD,DDD,1228,749,0.39006514657980457,546.5936482084691
oulad_DDD_2014J,OULAD,DDD,1803,1011,0.43926788685524126,535.8524681087077
oulad_EEE_2013J,OULAD,EEE,1052,443,0.5788973384030418,1003.2623574144486
oulad_EEE_2014B,OULAD,EEE,694,337,0.5144092219020173,746.4956772334294
oulad_EEE_2014J,OULAD,EEE,1188,504,0.5757575757575758,855.0547138047139
oulad_FFF_2013B,OULAD,FFF,1614,832,0.48451053283767037,1565.5997521685254
oulad_FFF_2013J,OULAD,FFF,2283,1188,0.47963206307490147,1456.6014016644765
oulad_FFF_2014B,OULAD,FFF,1500,846,0.436,1199.2506666666666
oulad_FFF_2014J,OULAD,FFF,2365,1248,0.4723044397463002,1382.6494714587739
ku_Accountancy_1819,KU Leuven,Accountancy,756,225,0.7023809523809523,233.39814814814815
ku_Globaleconom_1819,KU Leuven,Globaleconom,743,325,0.5625841184387618,112.1399730820996
ku_Accountancy_1920,KU Leuven,Accountancy,711,229,0.6779184247538678,270.2376933895921
ku_Globaleconom_1920,KU Leuven,Globaleconom,681,167,0.7547723935389133,993.6505139500734
ku_Accountancy_2021,KU Leuven,Accountancy,725,217,0.7006896551724138,1007.2841379310345
ku_Globaleconom_2021,KU Leuven,Globaleconom,335,163,0.5134328358208955,479.4
ukzn_ISTN101_2019,UKZN,ISTN101,1056,184,0.8257575757575758,239.0842803030303
ukzn_ISTN101_2020,UKZN,ISTN101,978,49,0.9498977505112475,345.2689161554192
ukzn_ISTN101_2021,UKZN,ISTN101,741,63,0.9149797570850202,755.1201079622132
ukzn_ISTN102_2018,UKZN,ISTN102,257,68,0.7354085603112841,111.4863813229572
ukzn_ISTN103_2019,UKZN,ISTN103,1113,300,0.7304582210242587,136.3746630727763
ukzn_ISTN103_2020,UKZN,ISTN103,1082,115,0.8937153419593346,320.25508317929757
ukzn_ISTN211_2019,UKZN,ISTN211,280,19,0.9321428571428572,217.99642857142857
ukzn_ISTN211_2021,UKZN,ISTN211,327,17,0.9480122324159022,445.0489296636086
ukzn_ISTN212_2018,UKZN,ISTN212,238,44,0.8151260504201681,109.11764705882354
ukzn_ISTN212_2019,UKZN,ISTN212,264,42,0.8409090909090909,161.64772727272728
ukzn_ISTN2IP_2018,UKZN,ISTN2IP,99,25,0.7474747474747475,103.12121212121212
ukzn_ISTN2IP_2019,UKZN,ISTN2IP,116,28,0.7586206896551724,187.77586206896552
ukzn_ISTN3ND_2018,UKZN,ISTN3ND,144,57,0.6041666666666666,89.95833333333333
ukzn_ISTN3ND_2019,UKZN,ISTN3ND,223,44,0.8026905829596412,218.58744394618833
ukzn_ISTN3SA_2018,UKZN,ISTN3SA,141,30,0.7872340425531915,207.75177304964538
ukzn_ISTN3SA_2019,UKZN,ISTN3SA,195,25,0.8717948717948718,247.5794871794872
zambia_ICT1110_2020,Zambia,ICT1110,65,49,0.24615384615384617,278.4769230769231
zambia_ICT1110_2021,Zambia,ICT1110,52,32,0.38461538461538464,209.21153846153845
oviedo_C1112_1415,Oviedo,C1112,199,108,0.457286432160804,181.6180904522613
oviedo_C1127_1415,Oviedo,C1127,106,39,0.6320754716981132,182.29245283018867
oviedo_C1200_1415,Oviedo,C1200,107,64,0.40186915887850466,281.5420560747664
oviedo_C1303_1415,Oviedo,C1303,112,70,0.375,88.96428571428571
oviedo_C174_1415,Oviedo,C174,96,45,0.53125,470.0625
oviedo_C190_1415,Oviedo,C190,112,61,0.45535714285714285,214.625
oviedo_C1978_1415,Oviedo,C1978,164,46,0.7195121951219512,99.73780487804878
oviedo_C2011_1415,Oviedo,C2011,120,26,0.7833333333333333,101.525
oviedo_C2024_1415,Oviedo,C2024,327,52,0.8409785932721713,139.92354740061162
oviedo_C2150_1415,Oviedo,C2150,106,41,0.6132075471698113,296.57547169811323
oviedo_C2271_1415,Oviedo,C2271,596,247,0.5855704697986577,105.5
oviedo_C2335_1415,Oviedo,C2335,428,290,0.32242990654205606,68.63084112149532
oviedo_C2406_1415,Oviedo,C2406,133,83,0.37593984962406013,230.8421052631579
oviedo_C2468_1415,Oviedo,C2468,82,41,0.5,148.0
oviedo_C2607_1415,Oviedo,C2607,277,204,0.26353790613718414,118.2418772563177
oviedo_C3022_1415,Oviedo,C3022,238,68,0.7142857142857143,47.12605042016807
oviedo_C3029_1415,Oviedo,C3029,231,76,0.670995670995671,75.76190476190476
oviedo_C4189_1415,Oviedo,C4189,128,60,0.53125,4.9296875
oviedo_C4213_1415,Oviedo,C4213,140,59,0.5785714285714286,415.59285714285716
oviedo_C836_1415,Oviedo,C836,87,44,0.4942528735632184,124.88505747126437
