source,target,source_institution,target_institution,distance,representation,model,n_target,auc,f1_pass,f1_fail,f1_fail_baseline,recall_at_flag20,precision_at_flag20,lift_at_flag20,brier,calibration_in_large,explanation_tau,explanation_jaccard_top3,auc_local,auc_loss,d_prevalence,d_scale,d_length,d_shape
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,OULAD,D1_same_module,raw,gradient_boosting,365,0.7555406549971767,0.8186915887850468,0.5025641025641026,0.469601677148847,0.4285714285714285,0.6575342465753424,2.142857142857143,0.1790473101279547,-0.000959049307765,0.2380952380952381,0.5,0.751464568040655,-0.0040760869565217295,0.03269787903716148,0.03841971124303971,0,0.07939278433215986
oulad_AAA_2013J,oulad_BBB_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1767,0.8334157955385149,0.7327433628318584,0.7536704730831973,0.7059685097034054,0.3609958506224066,0.9858356940509916,1.8070245553818485,0.1750914559562338,-0.0284344575806266,-0.0476190476190476,0.2,0.8596516951473467,0.02623589960883188,0.2714060059607453,0.403877379950764,4,0.27991734579436883
oulad_AAA_2013J,oulad_BBB_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2237,0.8366136057907887,0.7133004926108374,0.7618657937806874,0.684891240446796,0.3768240343347639,0.9821029082774048,1.8858061852502617,0.1785972707237454,0.0465446709687299,0.1428571428571428,0.5,0.8597867689449746,0.02317316315418594,0.24663533196151594,0.6090536123739666,0,0.3581742212496522
oulad_AAA_2013J,oulad_BBB_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1613,0.8264117667150012,0.6641622839969947,0.7641160949868074,0.7090836334533814,0.3611738148984199,0.9907120743034056,1.8036327041212112,0.1894621814797834,0.0718203249661137,0.3333333333333333,0.5,0.8534066527769584,0.026994886061957213,0.2751356067461017,0.6996643202023732,5,0.39388704189870954
oulad_AAA_2013J,oulad_BBB_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2292,0.8229707297758285,0.7245349867139061,0.7325881341358556,0.6643356643356644,0.3973684210526316,0.9890829694323144,1.988577338542864,0.1835348876330292,0.0319786030554674,0.3333333333333333,0.5,0.8686673824317739,0.04569665265594536,0.22323076292154798,0.4901493056597423,1,0.35900994849021595
oulad_AAA_2013J,oulad_CCC_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1936,0.8533268404346451,0.7119289340101523,0.8022648083623694,0.7933935805546899,0.3024351924587588,0.9948320413436692,1.5129574485792172,0.1705081329544692,-0.124455180466719,-0.1428571428571428,0.2,0.8815922767681004,0.02826543633345524,0.383389886282718,0.31656739025327907,4,0.34210803141790563
oulad_AAA_2013J,oulad_CCC_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2498,0.8111476869213982,0.7005395683453237,0.7597402597402597,0.7450389349409695,0.3196223870532704,0.948,1.596833445718139,0.1879694136266796,-0.0709792842450574,0.1428571428571428,0.2,0.8573491358549605,0.04620144893356237,0.31952350392062995,0.2500316697322986,0,0.31710097656640795
oulad_AAA_2013J,oulad_DDD_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1303,0.8061605222164527,0.6891701828410689,0.6266891891891891,0.7566793893129771,0.3266078184110971,0.992337164750958,1.6305363501519523,0.2559479276265345,-0.2614565978162132,-0.2380952380952381,0.2,0.8224229162030512,0.016262393986598456,0.33444411270235985,0.13951848035332579,4,0.18256466656723944
oulad_AAA_2013J,oulad_DDD_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1938,0.8212834784159868,0.7441860465116279,0.6953080836630865,0.7279291106005907,0.3417493237150586,0.9768041237113402,1.7069850241231537,0.2077512545996383,-0.1838905093505916,0.0476190476190476,0.2,0.8592495222225003,0.03796604380651347,0.2980879860532917,0.24087543849152823,1,0.19605090902652114
oulad_AAA_2013J,oulad_DDD_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1228,0.8395160143935826,0.7177482408131353,0.6932880203908242,0.7577137076378352,0.3230974632843791,0.983739837398374,1.6128605077773073,0.2135027012876885,-0.2141389563104701,0.4285714285714286,0.5,0.8574592149309727,0.01794320053739007,0.3357834173888638,0.26509541616817456,4,0.2167508841929029
