regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.256077373107685,KU Leuven,0.5732260636370226,0.31714869052933753,0.24052343826956946,0.4081280826874289,1000
global,coverage,True,UKZN,0.23461379595208592,KU Leuven,0.3127853881278539,0.07817159217576797,0.055502791910049365,0.3144438523972529,1000
global,mean_cross_tau,True,OULAD,0.36525656620264,KU Leuven,0.6181207276097788,0.25286416140713874,0.18147621264552052,0.36669409788599766,1000
cohort_calibrated,coverage,True,OULAD,0.2900863962512813,Zambia,0.325,0.03491360374871871,0.027957026171064842,0.04335969123070106,1000
cohort_calibrated,mean_cross_tau,True,OULAD,0.3684574890026682,KU Leuven,0.6215407629020195,0.2530832738993513,0.18011311951802186,0.3664387249791012,1000
oracle,coverage,True,OULAD,0.2900863962512813,Zambia,0.325,0.03491360374871871,0.027957026171064842,0.04335969123070106,1000
oracle,mean_cross_tau,True,OULAD,0.5526165236412587,KU Leuven,0.7099476439790577,0.15733112033779906,0.11225947236444435,0.23282235654855896,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.256077373107685,KU Leuven,0.5732260636370226,0.31714869052933753,0.24052343826956946,0.4081280826874289,1000
global,coverage,False,UKZN,0.23461379595208592,KU Leuven,0.3127853881278539,0.07817159217576797,0.04356425577227591,0.18116917112431732,1000
global,mean_cross_tau,False,OULAD,0.36525656620264,KU Leuven,0.6181207276097788,0.25286416140713874,0.18147621264552052,0.36669409788599766,1000
cohort_calibrated,coverage,False,OULAD,0.2900863962512813,Oviedo,0.2966168371361133,0.006530440884832012,0.0041036585493609955,0.009885403671509573,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.3684574890026682,KU Leuven,0.6215407629020195,0.2530832738993513,0.16777519445133324,0.3664387249791012,1000
oracle,coverage,False,OULAD,0.2900863962512813,Oviedo,0.2966168371361133,0.006530440884832012,0.0041036585493609955,0.009885403671509573,1000
oracle,mean_cross_tau,False,OULAD,0.5526165236412587,KU Leuven,0.7099476439790577,0.15733112033779906,0.10305742327409857,0.2322318965739436,1000
